eventcategory,isfirstactivity,apppackagename,appversion,devicetype,devicemanufacturer,osversion,canonicaldeviceuuid,sourcetype,channel,params_campaign,params_medium,params_term,inappeventcategory,inappeventlabel,eventdatetime,rowuuid,isfirstgoalactivity,event_rank
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,FEE81D6D-4166-439B-B677-B20AF32005F0,unattributed,unattributed,,,,category_gig.view,1.0,2018-09-29T03:17:51+09:00,10caabb3-1ea5-44a8-be78-956a3339e871,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,FEE81D6D-4166-439B-B677-B20AF32005F0,unattributed,unattributed,,,,gig_detail.view,10801.0,2018-09-29T03:17:51+09:00,d894d29c-9608-4496-92a2-c7a19b205996,False,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,8E9CC885-49E0-459F-A016-6DB809E697A1,unattributed,unattributed,,,,about_howToUse.click,,2018-09-29T03:17:54+09:00,7de7d1ba-c6c5-4c4a-bde2-d65ed81b9c40,True,True
launch,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,17189C75-A66B-4C00-A40A-33919A37B8DB,unattributed,unattributed,,,,,,2018-09-29T03:17:56+09:00,b8060434-d3ff-4471-ab2e-0ca708b59ce2,False,False
background,,com.kmong.kmong,3.3.2,SM-G965N,samsung,Android8.0.0,8e9536f0-4638-437e-8934-c0b2e85dabe9,,,,,,,,2018-09-29T03:17:56+09:00,b3eb1ccd-50ca-40c9-87ae-20daccdd9fa8,,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,17189C75-A66B-4C00-A40A-33919A37B8DB,unattributed,unattributed,,,,home.view,,2018-09-29T03:18:00+09:00,e241926a-7240-4478-8317-3654d5af9b4d,True,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,17189C75-A66B-4C00-A40A-33919A37B8DB,unattributed,unattributed,,,,search.view,,2018-09-29T03:18:07+09:00,83e31440-8b3f-458e-b8e2-87459262d790,True,True
launch,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,A17D4643-9C92-4B90-AD78-74497C3E2201,unattributed,unattributed,,,,,,2018-09-29T03:18:10+09:00,8f4c7ca1-78b5-4992-b925-5efff7703920,False,False
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,A17D4643-9C92-4B90-AD78-74497C3E2201,unattributed,unattributed,,,,home.view,,2018-09-29T03:18:11+09:00,ab5dfde3-44e9-4c52-b9aa-55b85ae14079,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,A17D4643-9C92-4B90-AD78-74497C3E2201,unattributed,unattributed,,,,inbox.view,,2018-09-29T03:18:12+09:00,12c915de-8335-49a7-9fb2-83acff16b5a3,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,A17D4643-9C92-4B90-AD78-74497C3E2201,unattributed,unattributed,,,,menu.view,,2018-09-29T03:18:15+09:00,58b78013-8080-43f2-b7c9-5f10c55db724,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,A17D4643-9C92-4B90-AD78-74497C3E2201,unattributed,unattributed,,,,seller_selling_history.view,,2018-09-29T03:18:16+09:00,b372e35a-1bbf-4c94-98ce-5a6b686c34d7,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,de30b34d-9579-4fa0-aa68-9a152c2bc211,unattributed,unattributed,,,,category_gig.view,2.0,2018-09-29T03:18:18+09:00,afc48479-6047-403c-9586-f56187106da1,False,True
launch,False,com.kmong.kmong,3.3.1,SM-G610K,samsung,Android7.0,d9920c47-7b2e-43a8-ae94-dd5d6eb0457e,unattributed,unattributed,,,,,,2018-09-29T03:18:20+09:00,f91e81b3-79f9-46b3-a328-fcc5aad251b4,False,False
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,17189C75-A66B-4C00-A40A-33919A37B8DB,unattributed,unattributed,,,,search_gig.view,,2018-09-29T03:18:20+09:00,6719aa28-9a7c-4223-8013-e23ea80ed2b7,True,True
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,A17D4643-9C92-4B90-AD78-74497C3E2201,,,,,,,,2018-09-29T03:18:22+09:00,af50c62e-aaae-466e-8a0b-38cfafc84216,,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,0AB81A3E-1683-4C75-B93D-4FD5AEDB7C40,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T03:18:22+09:00,9773dfeb-ff2a-4270-95ea-e785d10973fe,False,True
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,8E9CC885-49E0-459F-A016-6DB809E697A1,,,,,,,,2018-09-29T03:18:23+09:00,af3a1a70-0729-48ad-98cf-dbc6054f5be4,,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,0AB81A3E-1683-4C75-B93D-4FD5AEDB7C40,unattributed,unattributed,,,,account_setting_profile.click,,2018-09-29T03:18:24+09:00,9975df90-7f82-45fb-bba0-7efb2664dfab,False,True
foreground,,com.kmong.kmong,3.3.2,SM-N920S,samsung,Android6.0.1,bb0c7df5-1c29-4a0c-8d26-65a72f1849a6,,,,,,,,2018-09-29T03:18:25+09:00,747bc213-06bd-4419-b1c3-2b1491f369d2,,True
goal,True,com.kmong.kmong,3.3.2,SM-N900S,samsung,Android5.0,8cc6185c-ed53-49da-a47e-d1fe8a217c89,unattributed,unattributed,,,,gig_detail.view,60201.0,2018-09-29T03:18:25+09:00,12363408-e04d-4c35-8ec6-5b825cc77953,False,True
exit,,com.kmong.kmong,3.3.1,SM-G610K,samsung,Android7.0,d9920c47-7b2e-43a8-ae94-dd5d6eb0457e,,,,,,,,2018-09-29T03:18:27+09:00,76e66ce4-8ce6-4256-8d3c-ab809490cebc,,True
