eventcategory,isfirstactivity,apppackagename,appversion,devicetype,devicemanufacturer,osversion,canonicaldeviceuuid,sourcetype,channel,params_campaign,params_medium,params_term,inappeventcategory,inappeventlabel,eventdatetime,rowuuid,isfirstgoalactivity,event_rank
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,89608424-40B8-4486-A98E-3D44A4DE443A,unattributed,unattributed,,,,category_list.view,,2018-09-29T20:15:59+09:00,85ede974-b12a-4efd-83d5-6534e727c4b7,False,True
background,,com.kmong.iOS,4.0.2,iPad,Apple,iOS11.4.1,6BD66B00-7B86-466C-A1EE-E1C46F47A78A,,,,,,,,2018-09-29T20:16:00+09:00,581cc831-faba-40ce-b6ac-9c7a2b9e592f,,True
launch,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,73408423-050f-4f91-aa62-1c9b7dbf8108,unattributed,unattributed,,,,,,2018-09-29T20:16:00+09:00,d190fd26-0e19-4d7b-843a-a74a0d28254d,False,False
goal,False,com.kmong.kmong,3.3.5,SM-G960N,samsung,Android8.0.0,db390968-8f21-4bea-b7f9-c5c3bed66685,unattributed,unattributed,,,,inbox.view,,2018-09-29T20:16:00+09:00,25e85cac-76c3-4e90-a49d-1785893f8330,False,True
launch,False,com.kmong.kmong,3.3.5,LG-F820L,LGE,Android6.0.1,30a9f852-25e6-48e4-8087-584439cb37c8,unattributed,unattributed,,,,,,2018-09-29T20:16:01+09:00,acc8ee41-2730-414e-80a7-507468909391,False,False
goal,False,com.kmong.kmong,3.3.5,SM-G960N,samsung,Android8.0.0,db390968-8f21-4bea-b7f9-c5c3bed66685,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T20:16:01+09:00,42a8b6c5-7d59-4151-a52f-3e43f3e7bba2,False,True
background,,com.kmong.kmong,3.3.5,LG-F820L,LGE,Android6.0.1,30a9f852-25e6-48e4-8087-584439cb37c8,,,,,,,,2018-09-29T20:16:01+09:00,cac5575b-455d-4d00-973c-d3700fb39364,,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,de30b34d-9579-4fa0-aa68-9a152c2bc211,unattributed,unattributed,,,,inbox.view,,2018-09-29T20:16:01+09:00,7b84c0a4-1899-4795-a734-af0cfce4f5ec,False,True
goal,False,com.kmong.iOS,4.0.3,iPhone,Apple,iOS11.4.1,0A44E21D-3E81-41CE-BA57-3F0FAF0D6851,unattributed,unattributed,,,,buyer_order_history.view,,2018-09-29T20:16:02+09:00,bcf1415c-4adb-46cc-b167-4f2a1e27a3ab,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,de30b34d-9579-4fa0-aa68-9a152c2bc211,unattributed,unattributed,,,,home.view,,2018-09-29T20:16:02+09:00,68a72e52-8848-4240-9dfe-31404a529d35,False,True
goal,False,com.kmong.kmong,3.3.5,SM-A810S,samsung,Android7.0,09e27fb4-d21b-40b2-9ccb-5c5f4b9a34ee,unattributed,unattributed,,,,gig_detail.view,10802.0,2018-09-29T20:16:02+09:00,9ceaac79-0aa1-4efc-94d2-cfa0f352968e,False,True
goal,False,com.kmong.kmong,3.3.2,SM-G955N,samsung,Android8.0.0,91cd4bdc-cdc5-420c-ab83-db8b634351be,unattributed,unattributed,,,,home.view,,2018-09-29T20:16:03+09:00,13d654bc-527a-4142-a7a8-96590cde76f0,False,True
goal,False,com.kmong.kmong,3.3.5,LG-F500S,LGE,Android6.0,40ebf196-e565-474d-a6ae-65a39050532d,unattributed,unattributed,,,,menu.view,,2018-09-29T20:16:03+09:00,de9f8056-106d-42fa-bffb-eab8435e91eb,False,True
launch,False,com.kmong.kmong,3.3.2,SM-G955N,samsung,Android8.0.0,91cd4bdc-cdc5-420c-ab83-db8b634351be,unattributed,unattributed,,,,,,2018-09-29T20:16:03+09:00,56d25cf7-8b50-44b6-b252-b7bf237aae63,False,False
